N0113,N0236,N0289, N0290, N1037,N1268, N1269, N1459,N1708,N2355,N2439
2032,1674,3777.5,4105,2958.5,3719.8,9439.4,3600,2220,2053.4,3148.5
2085.05,1900,3889.5,4031,3051.5,3646.4,9272.4,4000,2120,2233.8,3740
2068.75,1813,4054,4014,3086,3644.6,8917.3,5200,2940,2159.2,3623
1978.9,1849,4229.5,3960.5,3097.5,3713.2,8373.7,2100,3180,2201.2,3591.5
2472.25,1751,4308.5,4029,3148.5,3708.4,8069.6,4050,2080,2322.6,3719.5
2819.6,2165,4549,4078.5,3193.5,3689.6,6499.9,2000,2280,2457.4,3815
3016.45,2519,4605,4052.5,3181.5,3652,6183.4,3250,2340,2566.8,3963.5
2731.85,2300,4529,4082,3196,3590.2,5825,2700,3160,2582.6,4089
2506.75,2035,4634,4161.5,3290,3549.6,5550.7,750,4060,2686.8,4399
5833.6,2173,4727,4237,3348,3580.6,5426.8,2750,2500,2755.4,4648.5
4474,2214,4801.5,4328.5,3436,3599.8,5363.8,2500,2580,2800,4774.5
7208.75,2442,4816,4384,3542.5,3647,5249.8,2500,2520,3033.2,4715.5
15586.15,2389,4855.5,4448,3546.5,3693.8,5281.4,2550,3960,3097.4,4885.5
25052.3,2683,4951.5,4572.5,3716,3755.6,5311,6600,2740,3049,4944
,3229,4999,4714.5,3698,3832.6,5258.3,4700,2760,3046.2,5015
,3150,5000,5000,3613,3917.4,5142.8,2500,2480,2930.4,5006.5
,3276,5088,5259,3611.5,4004,5074.4,4000,2220,2844.6,4821
,3249,,,3640.5,4086,5039,2900,5060,2959.6,4453
,3241,,,3829,4108.8,5058.9,3200,2200,3099.4,4325
,3659,,,3771,4179.2,5070.7,1750,2140,3197.2,4223
,4891,,,3935,4210.6,5119.6,3000,3500,2830.4,4054.5
,4521,,,4432,4276.6,5120.8,3600,3000,3066.2,3973
,4454,,,4504,4361.2,5111,2200,2480,3179,3966.5
,5135,,,4596.5,4452,5117.2,2550,2720,3222.4,4051.5
,5089,,,4706,4496.4,5084.9,4400,2480,3324.6,4128
,3666,,,4649.5,4581.6,5107.9,4350,3380,3150.2,4097.5
,3876,,,5095,4694,5126.2,2900,2680,3190,4091
,4179,,,5126,4749,,2400,2460,3100.8,4124
,4704,,,5129.5,4790,,3000,1580,3197.2,4122
,5303,,,5003.5,4837,,1850,2660,3084.6,4146
,4684,,,4982,4915,,3500,2180,3182.6,4158.5
,4612,,,5133,4929.8,,2500,1840,3263.8,4252
,4049,,,5179.5,5058,,1200,3960,3376.2,4139.5
,4275,,,5023,5150,,2350,2340,3297,4258.5
,4432,,,4797.5,5240,,1950,3240,3322.6,4274
,4326,,,4718.5,5318,,4000,2680,3201.4,4118.5
,4299,,,4628.5,5397.2,,4150,2620,3571.4,4085
,4918,,,4915.5,5474.6,,2250,2300,3254.6,4162.5
,,,,5006.5,5500.8,,2100,2820,3087.4,4284.5
,,,,4929.5,5552,,1800,2080,3370.4,4074
,,,,5020.5,5637.8,,1850,2160,3193.6,3925.5
,,,,5047,5622.8,,1750,1780,3314.8,3931
,,,,4949,5633.8,,3950,1680,3380.6,3703.5
,,,,5250,5567.8,,1850,2600,3250.4,4068
,,,,,5522,,4800,1980,3322.6,4259.5
,,,,,,,2200,2060,3303.6,4206
,,,,,,,3250,2220,3095.8,4217
,,,,,,,1100,1780,3691.4,4445.5
,,,,,,,1750,2540,3491,4289
,,,,,,,3550,2020,3701.2,4301.5
,,,,,,,2800,2600,3630.2,4591
,,,,,,,,1340,3424.6,4921
,,,,,,,,1200,3391.8,5017
,,,,,,,,2820,3350.4,5265
,,,,,,,,2480,3171.8,5374
,,,,,,,,2260,3136,5481.5
,,,,,,,,1820,3345.8,5570
,,,,,,,,2340,3493.8,5558
,,,,,,,,1060,3490.8,5743
,,,,,,,,1500,3360.4,5925.5
,,,,,,,,1980,3469.6,5830.5
,,,,,,,,860,3507.8,5833
,,,,,,,,1840,3603.2,5900.5
,,,,,,,,1900,3582.6,5757.5
,,,,,,,,1220,3661.8,5931
,,,,,,,,1660,3676,5925
,,,,,,,,1040,3577.8,5924.5
,,,,,,,,1960,3581.6,5840
,,,,,,,,2000,3727.2,5864
,,,,,,,,2340,3854.6,5712
,,,,,,,,1380,3817.2,5626
,,,,,,,,880,4241,5742
,,,,,,,,1920,4285.6,5996
,,,,,,,,1560,4009.4,6149.5
,,,,,,,,1820,3767.8,5939
,,,,,,,,680,3974.4,5784
,,,,,,,,1260,3691,5627.5
,,,,,,,,1180,3493.2,5348
,,,,,,,,1240,3124.2,5055.5
,,,,,,,,840,3876.6,4768
,,,,,,,,2100,3714.8,4594.5
,,,,,,,,1080,3439.8,4558
,,,,,,,,1400,3801,4524
,,,,,,,,1080,3813,4707
,,,,,,,,1740,2656.6,4891.5
,,,,,,,,1460,3658.8,4914
,,,,,,,,1740,3878.8,4977.5
,,,,,,,,840,3597,5048
,,,,,,,,780,3840.4,5218.5
,,,,,,,,1120,4075.4,5257
,,,,,,,,1520,3724,5241.5
,,,,,,,,1520,3939.8,5233
,,,,,,,,1340,3626,5291.5
,,,,,,,,1620,3756.6,5315.5
,,,,,,,,1220,3204.4,5218
,,,,,,,,1160,2728.8,4987
,,,,,,,,1640,3121.8,4633.5
,,,,,,,,1040,3043.2,4329
,,,,,,,,1260,2776.8,4209.5
,,,,,,,,1040,3308.2,4249
,,,,,,,,2120,3466.8,4240.5
,,,,,,,,1380,3385.4,4267.5
,,,,,,,,820,3696,4598
,,,,,,,,1580,3623.4,4796
,,,,,,,,1220,3816,4832
,,,,,,,,1680,3886.4,4877.5
,,,,,,,,1840,3780.6,4774
,,,,,,,,1620,3320.6,4529.5
,,,,,,,,,3511.4,4247.5
,,,,,,,,,3765,4132.5
,,,,,,,,,3825.4,4164.5
,,,,,,,,,3859,4133.5
,,,,,,,,,3918.6,4104.5
,,,,,,,,,3875,4180.5
,,,,,,,,,3745.4,4130
,,,,,,,,,3893,4066.5
